"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/09/20","00:00","-0.082","-","0.037"
"2024/09/20","01:00","-0.281","-","-0.141"
"2024/09/20","02:00","-0.351","-","-0.127"
"2024/09/20","03:00","-0.262","-","0.054"
"2024/09/20","04:00","-0.052","-","0.305"
"2024/09/20","05:00","0.212","-","0.636"
"2024/09/20","06:00","0.459","-","0.907"
"2024/09/20","07:00","0.619","-","1.052"
"2024/09/20","08:00","0.643","-","1.015"
"2024/09/20","09:00","0.531","-","0.805"
"2024/09/20","10:00","0.316","-","0.542"
"2024/09/20","11:00","0.042","-","0.229"
"2024/09/20","12:00","-0.243","-","-0.078"
"2024/09/20","13:00","-0.482","-","-0.345"
"2024/09/20","14:00","-0.608","-","-0.505"
"2024/09/20","15:00","-0.572","-","-0.419"
"2024/09/20","16:00","-0.383","-","-0.183"
"2024/09/20","17:00","-0.099","-","0.119"
"2024/09/20","18:00","0.213","-","0.476"
"2024/09/20","19:00","0.477","-","0.782"
"2024/09/20","20:00","0.63","-","0.942"
"2024/09/20","21:00","0.646","-","0.859"
"2024/09/20","22:00","0.542","-","0.716"
"2024/09/20","23:00","0.353","-","0.504"
"2024/09/21","00:00","0.125","-","0.25"
"2024/09/21","01:00","-0.087","-","0.02"
"2024/09/21","02:00","-0.222","-","-0.101"
"2024/09/21","03:00","-0.225","-","0.038"
"2024/09/21","04:00","-0.086","-","0.233"
"2024/09/21","05:00","0.145","-","0.505"
"2024/09/21","06:00","0.398","-","0.774"
"2024/09/21","07:00","0.601","-","0.97"
"2024/09/21","08:00","0.695","-","1.009"
"2024/09/21","09:00","0.653","-","0.902"
"2024/09/21","10:00","0.488","-","0.67"
"2024/09/21","11:00","0.235","-","0.398"
"2024/09/21","12:00","-0.057","-","0.097"
"2024/09/21","13:00","-0.337","-","-0.196"
"2024/09/21","14:00","-0.552","-","-0.418"
"2024/09/21","15:00","-0.645","-","-0.508"
"2024/09/21","16:00","-0.581","-","-0.378"
"2024/09/21","17:00","-0.38","-","-0.157"
"2024/09/21","18:00","-0.104","-","0.14"
"2024/09/21","19:00","0.181","-","0.458"
"2024/09/21","20:00","0.409","-","0.68"
"2024/09/21","21:00","0.532","-","0.782"
"2024/09/21","22:00","0.536","-","0.742"
"2024/09/21","23:00","0.436","-","0.564"
"2024/09/22","00:00","0.268","-","0.346"
"2024/09/22","01:00","0.084","-","0.149"
"2024/09/22","02:00","-0.069","-","0.009"
"2024/09/22","03:00","-0.139","-","-0.033"
"2024/09/22","04:00","-0.085","-","0.098"
"2024/09/22","05:00","0.088","-","0.314"
"2024/09/22","06:00","0.319","-","0.575"
"2024/09/22","07:00","0.539","-","0.808"
"2024/09/22","08:00","0.687","-","0.949"
"2024/09/22","09:00","0.72","-","0.946"
"2024/09/22","10:00","0.626","-","0.795"
"2024/09/22","11:00","0.425","-","0.561"
"2024/09/22","12:00","0.156","-","0.304"
"2024/09/22","13:00","-0.128","-","0.042"
"2024/09/22","14:00","-0.383","-","-0.191"
"2024/09/22","15:00","-0.564","-","-0.364"
"2024/09/22","16:00","-0.627","-","-0.404"
"2024/09/22","17:00","-0.546","-","-0.275"
"2024/09/22","18:00","-0.354","-","-0.078"
"2024/09/22","19:00","-0.109","-","0.172"
"2024/09/22","20:00","0.134","-","0.418"
"2024/09/22","21:00","0.323","-","0.588"
"2024/09/22","22:00","0.421","-","0.662"
"2024/09/22","23:00","0.417","-","0.623"
"2024/09/23","00:00","0.33","-","0.496"
"2024/09/23","01:00","0.198","-","0.387"
"2024/09/23","02:00","0.066","-","0.266"
"2024/09/23","03:00","-0.029","-","0.191"
"2024/09/23","04:00","-0.045","-","0.224"
"2024/09/23","05:00","0.048","-","0.365"
"2024/09/23","06:00","0.231","-","0.554"
"2024/09/23","07:00","0.439","-","0.742"
"2024/09/23","08:00","0.612","-","0.88"
"2024/09/23","09:00","0.708","-","0.92"
"2024/09/23","10:00","0.696","-","0.857"
"2024/09/23","11:00","0.57","-","0.721"
"2024/09/23","12:00","0.357","-","0.504"
"2024/09/23","13:00","0.1","-","0.277"
"2024/09/23","14:00","-0.154","-","0.037"
"2024/09/23","15:00","-0.372","-","-0.165"
"2024/09/23","16:00","-0.522","-","-0.313"
"2024/09/23","17:00","-0.564","-","-0.311"
"2024/09/23","18:00","-0.484","-","-0.21"
"2024/09/23","19:00","-0.321","-","-0.03"
"2024/09/23","20:00","-0.121","-","0.173"
"2024/09/23","21:00","0.077","-","0.34"
"2024/09/23","22:00","0.233","-","0.467"
"2024/09/23","23:00","0.313","-","0.522"
"2024/09/24","00:00","0.311","-","0.493"
"2024/09/24","01:00","0.247","-","0.42"
"2024/09/24","02:00","0.158","-","0.355"
"2024/09/24","03:00","0.074","-","0.291"
"2024/09/24","04:00","0.024","-","0.274"
"2024/09/24","05:00","0.043","-","0.345"
"2024/09/24","06:00","0.151","-","0.483"
"2024/09/24","07:00","0.318","-","0.635"
"2024/09/24","08:00","0.485","-","0.782"
"2024/09/24","09:00","0.614","-","0.874"
"2024/09/24","10:00","0.672","-","0.881"
"2024/09/24","11:00","0.634","-","0.835"
"2024/09/24","12:00","0.502","-","0.684"
"2024/09/24","13:00","0.305","-","0.514"
"2024/09/24","14:00","0.084","-","0.33"
"2024/09/24","15:00","-0.13","-","0.157"
"2024/09/24","16:00","-0.314","-","0"
"2024/09/24","17:00","-0.441","-","-0.115"
"2024/09/24","18:00","-0.476","-","-0.119"
"2024/09/24","19:00","-0.418","-","-0.055"
"2024/09/24","20:00","-0.297","-","0.075"
"2024/09/24","21:00","-0.143","-","0.224"
"2024/09/24","22:00","0.02","-","0.36"
"2024/09/24","23:00","0.152","-","0.449"
"2024/09/25","00:00","0.226","-","0.469"
"2024/09/25","01:00","0.238","-","0.49"
"2024/09/25","02:00","0.206","-","0.535"
"2024/09/25","03:00","0.153","-","0.476"
"2024/09/25","04:00","0.102","-","0.461"
"2024/09/25","05:00","0.076","-","0.481"
"2024/09/25","06:00","0.105","-","0.54"
"2024/09/25","07:00","0.2","-","0.617"
"2024/09/25","08:00","0.332","-","0.7"
"2024/09/25","09:00","0.459","-","0.778"
"2024/09/25","10:00","0.557","-","0.84"
"2024/09/25","11:00","0.596","-","0.837"
"2024/09/25","12:00","0.557","-","0.796"
"2024/09/25","13:00","0.446","-","0.744"
"2024/09/25","14:00","0.288","-","0.645"
"2024/09/25","15:00","0.109","-","0.552"
"2024/09/25","16:00","-0.068","-","0.377"
"2024/09/25","17:00","-0.227","-","0.235"
"2024/09/25","18:00","-0.345","-","0.136"
"2024/09/25","19:00","-0.394","-","0.059"
"2024/09/25","20:00","-0.369","-","0.07"
"2024/09/25","21:00","-0.289","-","0.315"
"2024/09/25","22:00","-0.168","-","0.261"
"2024/09/25","23:00","-0.027","-","0.419"
"2024/09/26","00:00","0.098","-","0.512"
"2024/09/26","01:00","0.18","-","0.533"
"2024/09/26","02:00","0.215","-","0.546"
"2024/09/26","03:00","0.208","-","0.605"
"2024/09/26","04:00","0.177","-","0.634"
"2024/09/26","05:00","0.139","-","0.7"
"2024/09/26","06:00","0.112","-","0.686"
"2024/09/26","07:00","0.123","-","0.787"
"2024/09/26","08:00","0.185","-","0.733"
"2024/09/26","09:00","0.28","-","0.784"
"2024/09/26","10:00","0.379","-","0.905"
"2024/09/26","11:00","0.463","-","0.919"
"2024/09/26","12:00","0.508","-","0.955"
"2024/09/26","13:00","0.493","-","1.021"
"2024/09/26","14:00","0.422","-","1.067"
"2024/09/26","15:00","0.307","-","1.15"
"2024/09/26","16:00","0.165","-","1.132"
"2024/09/26","17:00","0.013","-","1.061"
"2024/09/26","18:00","-0.138","-","0.964"
"2024/09/26","19:00","-0.266","-","0.9"
"2024/09/26","20:00","-0.34","-","0.859"
"2024/09/26","21:00","-0.346","-","0.836"
"2024/09/26","22:00","-0.292","-","0.933"
"2024/09/26","23:00","-0.186","-","1.121"
"2024/09/27","00:00","-0.048","-","1.326"
"2024/09/27","01:00","0.087","-","1.691"
"2024/09/27","02:00","0.188","-","2.445"
"2024/09/27","03:00","0.24","-","2.94"
"2024/09/27","04:00","0.244","-","3.246"
"2024/09/27","05:00","0.214","-","3.362"
"2024/09/27","06:00","0.163","-","3.126"
"2024/09/27","07:00","0.11","-","2.674"
"2024/09/27","08:00","0.086","-","2.14"
"2024/09/27","09:00","0.114","-","1.675"
"2024/09/27","10:00","0.182","-","1.422"
"2024/09/27","11:00","0.271","-","1.13"
"2024/09/27","12:00","0.365","-","0.895"
"2024/09/27","13:00","0.437","-","0.79"
"2024/09/27","14:00","0.464","-","0.816"
"2024/09/27","15:00","0.434","-","0.83"
"2024/09/27","16:00","0.351","-","0.866"
"2024/09/27","17:00","0.231","-","0.801"
"2024/09/27","18:00","0.085","-","0.637"
"2024/09/27","19:00","-0.078","-","0.441"
"2024/09/27","20:00","-0.228","-","0.253"
"2024/09/27","21:00","-0.322","-","0.075"
"2024/09/27","22:00","-0.343","-","-0.069"
"2024/09/27","23:00","-0.295","-","-0.156"
"2024/09/28","00:00","-0.182","-","-0.111"
"2024/09/28","01:00","-0.026","-","0.013"
"2024/09/28","02:00","0.129","-","0.213"
"2024/09/28","03:00","0.244","-","0.439"
"2024/09/28","04:00","0.298","-","0.665"
"2024/09/28","05:00","0.293","-","0.842"
"2024/09/28","06:00","0.241","-","0.908"
"2024/09/28","07:00","0.155","-","0.871"
"2024/09/28","08:00","0.06","-","0.766"
"2024/09/28","09:00","0.003","-","0.681"
"2024/09/28","10:00","0.009","-","0.577"
"2024/09/28","11:00","0.068","-","0.576"
"2024/09/28","12:00","0.169","-","0.587"
"2024/09/28","13:00","0.293","-","0.651"
"2024/09/28","14:00","0.407","-","0.767"
"2024/09/28","15:00","0.472","-","0.85"
"2024/09/28","16:00","0.469","-","0.882"
"2024/09/28","17:00","0.402","-","0.846"
"2024/09/28","18:00","0.283","-","0.706"
"2024/09/28","19:00","0.122","-","0.513"
"2024/09/28","20:00","-0.064","-","0.273"
"2024/09/28","21:00","-0.23","-","0.035"
"2024/09/28","22:00","-0.329","-","-0.15"
"2024/09/28","23:00","-0.345","-","-0.245"
"2024/09/29","00:00","-0.279","-","-0.216"
"2024/09/29","01:00","-0.137","-","-0.087"
"2024/09/29","02:00","0.047","-","0.104"
"2024/09/29","03:00","0.216","-","0.348"
"2024/09/29","04:00","0.327","-","0.559"
"2024/09/29","05:00","0.363","-","0.685"
"2024/09/29","06:00","0.328","-","0.703"
"2024/09/29","07:00","0.235","-","0.597"
"2024/09/29","08:00","0.102","-","0.448"
"2024/09/29","09:00","-0.03","-","0.286"
"2024/09/29","10:00","-0.108","-","0.15"
"2024/09/29","11:00","-0.106","-","0.113"
"2024/09/29","12:00","-0.033","-","0.184"
"2024/09/29","13:00","0.101","-","0.304"
"2024/09/29","14:00","0.268","-","0.509"
"2024/09/29","15:00","0.418","-","0.707"
"2024/09/29","16:00","0.504","-","0.831"
"2024/09/29","17:00","0.509","-","0.866"
"2024/09/29","18:00","0.436","-","0.756"
"2024/09/29","19:00","0.298","-","0.587"
"2024/09/29","20:00","0.111","-","0.363"
"2024/09/29","21:00","-0.092","-","0.124"
"2024/09/29","22:00","-0.259","-","-0.085"
"2024/09/29","23:00","-0.342","-","-0.237"
"2024/09/30","00:00","-0.329","-","-0.222"
"2024/09/30","01:00","-0.225","-","-0.115"
"2024/09/30","02:00","-0.044","-","0.091"
"2024/09/30","03:00","0.161","-","0.329"
"2024/09/30","04:00","0.326","-","0.543"
"2024/09/30","05:00","0.412","-","0.681"
"2024/09/30","06:00","0.409","-","0.711"
"2024/09/30","07:00","0.326","-","0.592"
"2024/09/30","08:00","0.181","-","0.434"
"2024/09/30","09:00","0.007","-","0.249"
"2024/09/30","10:00","-0.146","-","0.089"
"2024/09/30","11:00","-0.223","-","-0.014"
"2024/09/30","12:00","-0.204","-","0.035"
"2024/09/30","13:00","-0.096","-","0.186"
"2024/09/30","14:00","0.083","-","0.391"
"2024/09/30","15:00","0.288","-","0.644"
"2024/09/30","16:00","0.456","-","0.836"
"2024/09/30","17:00","0.542","-","0.937"
"2024/09/30","18:00","0.533","-","0.899"
"2024/09/30","19:00","0.434","-","0.764"
"2024/09/30","20:00","0.267","-","0.568"
"2024/09/30","21:00","0.06","-","0.326"
"2024/09/30","22:00","-0.145","-","0.082"
"2024/09/30","23:00","-0.291","-","-0.117"
"2024/10/01","00:00","-0.337","-","-"
"2024/10/01","01:00","-0.275","-","-"
"2024/10/01","02:00","-0.121","-","-"
"2024/10/01","03:00","0.09","-","-"
"2024/10/01","04:00","0.294","-","-"
"2024/10/01","05:00","0.431","-","-"
"2024/10/01","06:00","0.472","-","-"
"2024/10/01","07:00","0.413","-","-"
"2024/10/01","08:00","0.273","-","-"
"2024/10/01","09:00","0.084","-","-"
"2024/10/01","10:00","-0.114","-","-"
"2024/10/01","11:00","-0.267","-","-"
"2024/10/01","12:00","-0.322","-","-"
"2024/10/01","13:00","-0.263","-","-"
"2024/10/01","14:00","-0.107","-","-"
"2024/10/01","15:00","0.112","-","-"
"2024/10/01","16:00","0.336","-","-"
"2024/10/01","17:00","0.5","-","-"
"2024/10/01","18:00","0.566","-","-"
"2024/10/01","19:00","0.524","-","-"
"2024/10/01","20:00","0.391","-","-"
"2024/10/01","21:00","0.201","-","-"
"2024/10/01","22:00","-0.012","-","-"
"2024/10/01","23:00","-0.201","-","-"
"2024/10/02","00:00","-0.305","-","-"
"2024/10/02","01:00","-0.292","-","-"
"2024/10/02","02:00","-0.172","-","-"
"2024/10/02","03:00","0.023","-","-"
"2024/10/02","04:00","0.243","-","-"
"2024/10/02","05:00","0.422","-","-"
"2024/10/02","06:00","0.51","-","-"
"2024/10/02","07:00","0.486","-","-"
"2024/10/02","08:00","0.363","-","-"
"2024/10/02","09:00","0.174","-","-"
"2024/10/02","10:00","-0.043","-","-"
"2024/10/02","11:00","-0.245","-","-"
"2024/10/02","12:00","-0.376","-","-"
"2024/10/02","13:00","-0.386","-","-"
"2024/10/02","14:00","-0.273","-","-"
"2024/10/02","15:00","-0.072","-","-"
"2024/10/02","16:00","0.171","-","-"
"2024/10/02","17:00","0.393","-","-"
"2024/10/02","18:00","0.534","-","-"
"2024/10/02","19:00","0.561","-","-"
"2024/10/02","20:00","0.478","-","-"
"2024/10/02","21:00","0.316","-","-"
"2024/10/02","22:00","0.116","-","-"
"2024/10/02","23:00","-0.086","-","-"
"2024/10/03","00:00","-0.237","-","-"
"2024/10/03","01:00","-0.28","-","-"
"2024/10/03","02:00","-0.199","-","-"
"2024/10/03","03:00","-0.026","-","-"
"2024/10/03","04:00","0.189","-","-"
"2024/10/03","05:00","0.393","-","-"
"2024/10/03","06:00","0.524","-","-"
"2024/10/03","07:00","0.542","-","-"
"2024/10/03","08:00","0.445","-","-"
"2024/10/03","09:00","0.265","-","-"
"2024/10/03","10:00","0.043","-","-"
"2024/10/03","11:00","-0.183","-","-"
"2024/10/03","12:00","-0.369","-","-"
"2024/10/03","13:00","-0.454","-","-"
"2024/10/03","14:00","-0.403","-","-"
"2024/10/03","15:00","-0.238","-","-"
"2024/10/03","16:00","-0.006","-","-"
"2024/10/03","17:00","0.242","-","-"
"2024/10/03","18:00","0.443","-","-"
"2024/10/03","19:00","0.542","-","-"
"2024/10/03","20:00","0.522","-","-"
"2024/10/03","21:00","0.404","-","-"
"2024/10/03","22:00","0.226","-","-"
"2024/10/03","23:00","0.029","-","-"
"2024/10/04","00:00","-0.144","-","-"
"2024/10/04","01:00","-0.238","-","-"
"2024/10/04","02:00","-0.207","-","-"
"2024/10/04","03:00","-0.063","-","-"
"2024/10/04","04:00","0.142","-","-"
"2024/10/04","05:00","0.355","-","-"
"2024/10/04","06:00","0.519","-","-"
"2024/10/04","07:00","0.58","-","-"
"2024/10/04","08:00","0.52","-","-"
"2024/10/04","09:00","0.358","-","-"
"2024/10/04","10:00","0.136","-","-"
"2024/10/04","11:00","-0.104","-","-"
"2024/10/04","12:00","-0.321","-","-"
"2024/10/04","13:00","-0.466","-","-"
"2024/10/04","14:00","-0.489","-","-"
"2024/10/04","15:00","-0.378","-","-"
"2024/10/04","16:00","-0.172","-","-"
"2024/10/04","17:00","0.074","-","-"
"2024/10/04","18:00","0.308","-","-"
"2024/10/04","19:00","0.469","-","-"
"2024/10/04","20:00","0.518","-","-"
"2024/10/04","21:00","0.457","-","-"
"2024/10/04","22:00","0.315","-","-"
"2024/10/04","23:00","0.134","-","-"